,reviewText,overall,Sentiment,review
0,Absolutely perfect. In stores there usually cost $29.99 but here your basically get it half off. and unlike the stores that give it to you in the clear squarish plastic box. This they actually gave it in an official ( iphone like box) packaging. i was like wow. just superb. sound quality is the best no defect or anything.,5.0,1,absolutely perfect stores usually cost basically get half unlike stores give clear squarish plastic box actually gave official iphone like box packaging like wow superb sound quality best defect anything
1,best earbud on market,5.0,1,best earbud market
2,good sound and they say in my ears when moving.,5.0,1,good sound say ears moving
3,Grate stuff all OEM,5.0,1,grate stuff oem
4,great product . Though it is expensive but worth money and last for years . Very good quality steel .,5.0,1,great product though expensive worth money last years good quality steel
5,"I think these are more hyped over than how good they actually are, I mean they are pretty good but eventually get uncomfortable.",4.0,1,think hyped good actually mean pretty good eventually get uncomfortable
6,Perfect doesn't look fake (or feel) I'm more happy with them.,5.0,1,perfect doesnt look fake feel im happy
7,Sound good,5.0,1,sound good
8,The real deal.,5.0,1,real deal
9,These are the best earphones out there! Great bass and overall great sound quality. Great for listening to dubstep and even Pink Floyd . Buy these ! You won't regret it .,5.0,1,best earphones great bass overall great sound quality great listening dubstep even pink floyd buy wont regret
10,Ummm... I'm confused. I received two copies but only ordered one. But both copies feel like they have been made by a side shop near china town.  Still great sound quality but not the real deal if ur gonna buy the real ones.,2.0,0,ummm im confused received two copies ordered one copies feel like made side shop near china town still great sound quality real deal ur gon na buy real ones
11,"The headphones i got were either defective or fake apple head phones. I got 2 sets of head phones. One pair has a defective mic. The mic did not work. The volume buttons worked, but the mic didn't. On that same pair, the sound is bad quality. I listened to music I made, and heard that instruments i panned to the right were playing out of the left headphone, and instruments i had panned to the left were playing out of the right. I played one of my songs and compared that pair of headphones to my step-mom's headphones (the ones that came with her iPhone 5) and heard a significant difference. I had her listen to the same song out of both headphones and she too heard the difference. The headphones that came with her phone bangs harder and cleaner. The second pair that i ordered seems a little better. The panning is correct unlike the first pair (instruments panned to the right played out of the right headphone and instruments panned to the left played out of the left headphone.) But still, the headphones that came with my step-mom's iPhone 5 sounded cleaner. Another problem i noticed was that these headphones looked just a little different. Hard to tell, but a closer look shows the difference. These were a different white compared the the iPhone 5 headphones. The box that it came in had the apple logo, and it says ""designed by apple in California assembled in China"" on the headphones just like the one that came with the iPhone 5, so I'm not sure if these are just defective or fake. For the price i payed i shouldn't be complaining, but i ordered apple earpods, i just want what i ordered.",1.0,0,headphones got either defective fake apple head phones got sets head phones one pair defective mic mic work volume buttons worked mic didnt pair sound bad quality listened music made heard instruments panned right playing left headphone instruments panned left playing right played one songs compared pair headphones stepmoms headphones ones came iphone heard significant difference listen song headphones heard difference headphones came phone bangs harder cleaner second pair ordered seems little better panning correct unlike first pair instruments panned right played right headphone instruments panned left played left headphone still headphones came stepmoms iphone sounded cleaner another problem noticed headphones looked little different hard tell closer look shows difference different white compared iphone headphones box came apple logo says designed apple california assembled china headphones like one came iphone im sure defective fake price payed shouldnt complaining ordered apple earpods want ordered
12,"an awesome product from the geniuses at Apple, can't wait to see the next generation of this product, i will be first in line for the new one........",5.0,1,awesome product geniuses apple cant wait see next generation product first line new one
13,they work great and fit nicely in the ear! way worth it when you consider the price. Great deal overall,5.0,1,work great fit nicely ear way worth consider price great deal overall
14,this item was a disgrace because whenever i put it in theheadphone jack i could hear very LOW sounds. Very bad,1.0,0,item disgrace whenever put theheadphone jack could hear low sounds bad
15,"I received mine today and it came nicely in the standard Apple packaging (jewel box inside a sealed white box) with all documentations enclosed. The left & right pods snaps snugly fit in the crate (fakes would be dangling loose), all the gray plastic band around the white wires are cut evenly (fakes are uneven), the grilles on both pods are 'micro mesh' metal -- unlike cloths on the fakes. The pods also have an even smooth texture whereas the fakes are rough. You'll know it when you feel it in your hands. This is the second Apple product I bought DIRECTLY through Amazon instead of from third-party sellers. The first was anAirport Extreme 802.11N (5TH GEN) router, but then again, like everything else, I only buy when it says 'Ships from and sold by Amazon.com'. Rest assured that you WILL get the real deal when you click that link button.Now let's get to the product...This is a huge improvement over the regular Apple earbuds that came with my 4th Gen iPod, the design is much better and it is extremely comfortable to wear. It stays locked in comfortably in my ears but I can barely feel them because of the contoured design. The sound is excellent; you get enough lows (bass) and highs (trebles) and it is well-balanced with the mids, but above all, sound reproduction was crystal-clear to the least.The +/- controller/mic button (and where the hell did they hid that mic???) worked well with my iPod, it controls the volume like it should and pauses/play when pressing the center part. I'm sure it does more but I haven't have time for that since I bought these pods for the purpose of using it as a hands-free device along with one of my cell phone while driving.Android phones compatibility (non-Apple iPhones)...Since most phones have ditched and gone away with their proprietary plugs (thanks to Apple) and seemed to embraced the old retro 3.5mm headphone/mic jacks, at least all three of my new smartphones came with it and I was hoping for the best. Here are the results:1.) ---LG Optimus L9---The mic did NOT work! It is dead silent during a call, or creates a high pitch feedback noise when using the voice recorder function. The pods can only be used for listening to audio as a headphone set. It also disables the mic from the cellphone unless you put it on speaker, but that defeats the purpose.2.) ---T-Mobile Mytouch 4G Huawei U8680---Also did not work similar to the LG and only can be used as a standard audio headphone/earbud.3.) ---Samsung Galaxy S Blaze 4G---This WORKED!!! The mic functions as hands-free unit where the other party can hear clearly. During the test, the mic from the cellphone seemed to work in unison with the pod where it can create a slight echo effect if the two are held too close to each other, but should be fine when making real-time calls distanced away from each other. The +/- functions from the controller did not work (as expected) but pushing the center part would 'end' a call.Now some of you might be asking why would I spend the money and gamble on something like this that might or might not work. I have three reasons:1. I've read many reviews and some people had commented that the mic on these Apple pods produces clearer more 'audible' sound compared to other headsets, also, some say that it works with certain Samsung Galaxy phones....and no doubt it did!2. I can't have earbuds with the silicon plastic tips since my g/f will be pulling them in and out of the center console, if they fall off, it renders the headset useless.3. They are not noise-canceling where it is crucial when used during driving.I'm really glad that it worked out because I purchased these pods for the sole intention of using it along with the Samsung. The product would of been returned if it fails to operate, but then again the audio is so darn nice that I would of kept it regardless.",4.0,1,received mine today came nicely standard apple packaging jewel box inside sealed white box documentations enclosed left right pods snaps snugly fit crate fakes would dangling loose gray plastic band around white wires cut evenly fakes uneven grilles pods micro mesh metal unlike cloths fakes pods also even smooth texture whereas fakes rough youll know feel hands second apple product bought directly amazon instead thirdparty sellers first anairport extreme gen router like everything else buy says ships sold amazoncom rest assured get real deal click link buttonnow lets get productthis huge improvement regular apple earbuds came gen ipod design much better extremely comfortable wear stays locked comfortably ears barely feel contoured design sound excellent get enough lows bass highs trebles wellbalanced mids sound reproduction crystalclear leastthe controllermic button hell hid mic worked well ipod controls volume like pausesplay pressing center part im sure havent time since bought pods purpose using handsfree device along one cell phone drivingandroid phones compatibility nonapple iphonessince phones ditched gone away proprietary plugs thanks apple seemed embraced old retro headphonemic jacks least three new smartphones came hoping best lg optimus mic work dead silent call creates high pitch feedback noise using voice recorder function pods used listening audio headphone set also disables mic cellphone unless put speaker defeats tmobile mytouch huawei work similar lg used standard audio samsung galaxy blaze worked mic functions handsfree unit party hear clearly test mic cellphone seemed work unison pod create slight echo effect two held close fine making realtime calls distanced away functions controller work expected pushing center part would end callnow might asking would spend money gamble something like might might work three ive read many reviews people commented mic apple pods produces clearer audible sound compared headsets also say works certain samsung galaxy phonesand doubt cant earbuds silicon plastic tips since gf pulling center console fall renders headset noisecanceling crucial used drivingim really glad worked purchased pods sole intention using along samsung product would returned fails operate audio darn nice would kept regardless
16,wires are now exposed. but i blame myself for that one. these things made it through alive after two visits through the washing machine and dryer. works with android phone,4.0,1,wires exposed blame one things made alive two visits washing machine dryer works android phone
17,"I bought these headphones to use while walking to and from classes; they are light weight and stay in your ears extremely well. I was definitely debating at first whether it would be worth buying the earpods rather then just buying the original iPod headphones, however; once I received, and had tried, the new earpods that I ordered, I had absolutely no regrets on buying them over the older style. Amazing sound quality; bass is excellent; the mic and volume controls on the cord work so good with my iPod video.  Although I was disappointed when the volume buttons were not compatible with my Droid Razr Maxx, the pause and play button still worked fairly well. I have not tried answering calls with the mic yet but I plan on trying soon.These earpods get a solid 5 stars from me. Great buy.",5.0,1,bought headphones use walking classes light weight stay ears extremely well definitely debating first whether would worth buying earpods rather buying original ipod headphones however received tried new earpods ordered absolutely regrets buying older style amazing sound quality bass excellent mic volume controls cord work good ipod video although disappointed volume buttons compatible droid razr maxx pause play button still worked fairly well tried answering calls mic yet plan trying soonthese earpods get solid stars great buy
18,They're the same EarPods that come with the iphone 5.  Works well with other phones if you need them to.,5.0,1,theyre earpods come iphone works well phones need
19,I have a Ipod touch but I have a droid 4 too sooo does it work for Android? Please respond quick!,5.0,1,ipod touch droid sooo work android please respond quick
20,I'm not sure if I just got a defective set or what but the right bud was never as loud as the left and after just 2 weeks the right one gave out. I'm hoping it was just the one pair and plan to buy again because I really liked the sound and feel of them. The microphone works great too. It may be the case that I stored it in that came with it. Maybe it caused there to be too much tension on it. If I get a second pair that sucks then I will for sure lower my rating but if they work ok I will update with a more positive review.,3.0,0,im sure got defective set right bud never loud left weeks right one gave im hoping one pair plan buy really liked sound feel microphone works great may case stored came maybe caused much tension get second pair sucks sure lower rating work ok update positive review
21,"These are the original Apple EarPods and have a great price, sound, comfortability, and microphone! They sound better than Beats.",5.0,1,original apple earpods great price sound comfortability microphone sound better beats
22,"Great sound can come from ear buds, without costing as much as a pair of shoes. They are reliable and sturdy.",5.0,1,great sound come ear buds without costing much pair shoes reliable sturdy
23,"I gave this product 5 stars because it had everything that I was looking for in affordable headsets for a phone.Clarity in callsComfortable fitNice sound for the musicDurabilityI could not come up with any cons. I can only add to this review that for the price, you get a very sonically sound pair of headphones and the kind of quality you should expect from an apple product.",5.0,1,gave product stars everything looking affordable headsets phoneclarity callscomfortable fitnice sound musicdurabilityi could come cons add review price get sonically sound pair headphones kind quality expect apple product
24,"Great quality head phones, a purchase I have never doubted. Bought new, so there wasn't much room for error but they are definitely recommended.",5.0,1,great quality head phones purchase never doubted bought new wasnt much room error definitely recommended
25,Great earphones seems like the real deal.  Haven't had it fall apart on me. (-1 star because the volume rockers only work for apple products),4.0,1,great earphones seems like real deal havent fall apart star volume rockers work apple products
26,"This item works great for the right price,Works we'll with my Ipod and phone nothing bad to say about this product.",5.0,1,item works great right priceworks well ipod phone nothing bad say product
27,"I like the EarPods and they are great for listening to music. However, when I use them for the phone they are not clear. People on the other end often tell me I sound muffled. They were listed as refurfished, so I wasn't expecting a brand new Apple set. They did arrive on time and well packed. Overall, if you're not very picky then this pair will be great for you. I'm very happy with them and they meet my expectations.",4.0,1,like earpods great listening music however use phone clear people end often tell sound muffled listed refurfished wasnt expecting brand new apple set arrive time well packed overall youre picky pair great im happy meet expectations
28,"Apple has kept up with my expectation. $30 for such good earphones, impossible to find. I will stop spending $60 on stupid breakable earphones are rather get 2 of these.",5.0,1,apple kept expectation good earphones impossible find stop spending stupid breakable earphones rather get
29,"They fit very nicely and have a great, full sound. The remote does not work with anything but Apple products (not a big deal for me), but the mic works fine if you use it for talking on the phone.They also don't hurt my ears if I wear them for more than an hour which most other earbuds do. They will inevitably hurt my ears, but at that rate, I should probably take them out for my hearing's sake.Great buy!",5.0,1,fit nicely great full sound remote work anything apple products big deal mic works fine use talking phonethey also dont hurt ears wear hour earbuds inevitably hurt ears rate probably take hearings sakegreat buy
30,"Has a nice loudness to it, not beats by dre loud, but good loudness for everyday use, train, bus, everything. It has nice bass to it, not too powerful, but very nice bass, these are way better than the ones that come with the galaxy phones, and is better than the in-ear apple earphones in my opinion, I wasted too much money on those worthless earphones... but these are very nice and recommend them to anyone who likes music and answering calls to use as a mic, even tho the mic could be better. Id be glad to ask any questions. Thank you!",5.0,1,nice loudness beats dre loud good loudness everyday use train bus everything nice bass powerful nice bass way better ones come galaxy phones better inear apple earphones opinion wasted much money worthless earphones nice recommend anyone likes music answering calls use mic even tho mic could better id glad ask questions thank
31,"The sound comes through poorly and L & R are unbalanced.  In short, either these are damaged or are generic rip-offs:(",1.0,0,sound comes poorly l r unbalanced short either damaged generic ripoffs
32,"When I gave original earpods I got with my iphone, I was really eager to get a new one.  After I bought this, unfortunately I realized why I gave away my original earpods...I am more accustomed to using another pair of headphones I have.Having said this, the earpods themselves are in no way inferior.  The songs sound great and crisp and are a very convenient companion and avoids the hassles of carrying a large headphone around.",4.0,1,gave original earpods got iphone really eager get new one bought unfortunately realized gave away original earpodsi accustomed using another pair headphones havehaving said earpods way inferior songs sound great crisp convenient companion avoids hassles carrying large headphone around
33,I do not like the ear buds that fit in your ears like ear plugs.  These are a great alternate option!  The sound is pretty good for ear buds.,5.0,1,like ear buds fit ears like ear plugs great alternate option sound pretty good ear buds
34,The new EarPods are a little better than the previous ones.. but still start to feel uncomfortable after continuous usage (over half hour)..,3.0,0,new earpods little better previous ones still start feel uncomfortable continuous usage half hour
35,"Ordered these about 4 months ago. Seemed to work fine for first few weeks then the volume keys started to not always respond to pressure. Now they only sometimes do and I cannot select playlists at all. I only used them 1-2 times a week for commuting on the train to/from work, then stored them in the container they came in when not in use. I am now overseas without access to other options. Not satisfied at all, I thought this was supposed to be a high quality product.",1.0,0,ordered months ago seemed work fine first weeks volume keys started always respond pressure sometimes select playlists used times week commuting train tofrom work stored container came use overseas without access options satisfied thought supposed high quality product
36,"These are a replacement set of iPhone 5 headphones for a pair of older ones that died.  They work great, the microphone is very good.  I don't think they fit into my ears as well as most aftermarket headphones, but the sound quality is sufficient.  The button functionality is superior to most aftermarkets because they are designed by Apple to work with Apple products.  Having volume control and being able to skip songs is great.",4.0,1,replacement set iphone headphones pair older ones died work great microphone good dont think fit ears well aftermarket headphones sound quality sufficient button functionality superior aftermarkets designed apple work apple products volume control able skip songs great
37,"always love these headset compare to the old ones, these kick balls. just love the way it looks and works, only problem, hate clicking the clicker to switch songs or rw song",5.0,1,always love headset compare old ones kick balls love way looks works problem hate clicking clicker switch songs rw song
38,"I got what i expected.....great time, packing and service.....The product is great, just what i needed. Apple products always amaze me",5.0,1,got expectedgreat time packing servicethe product great needed apple products always amaze
39,"I'm not an apple person, but these are a gargantuan improvement over the last model. My friend had one of these and I tried it and loved them so I bought myself a pair.",5.0,1,im apple person gargantuan improvement last model friend one tried loved bought pair
40,"the sound of the buds is fantastic when together, but the left earpiece has almost no volume by itself. unsure if this is just apples design or i got faulty headphones",4.0,1,sound buds fantastic together left earpiece almost volume unsure apples design got faulty headphones
41,"They sound good. They stay in. The volume button/control button/the mic all seem to work well. Now... if they hold up for a while, I'll be thrilled. So far so good.",5.0,1,sound good stay volume buttoncontrol buttonthe mic seem work well hold ill thrilled far good
42,"Love them. They work great no matter if I'm going for a run, talking on the phone, or laying in bed. Great product",5.0,1,love work great matter im going run talking phone laying bed great product
43,They were missing the vital bass component which is the key to most my music. I just wish that they were just........better really,1.0,0,missing vital bass component key music wish justbetter really
44,"For a high school kid like me that likes a lot of bass, these head phones were perfect.  The sound is great, there could be a bit more bass but over all good.Downside, if you are a kid in middle or high school these ear phones like to turn the music on by themselves while in your pocket.  So I recommend you turning the volume all the way down while there in your pocket.",4.0,1,high school kid like likes lot bass head phones perfect sound great could bit bass gooddownside kid middle high school ear phones like turn music pocket recommend turning volume way pocket
45,"Sound quality is horrible along with quality in general. They didn't do half a bad job of replicating the look of the real Apple headphones, but they are obviously fake by several easily notice things before even using. DON'T BUY!! Just she'll out another $10 or so and get the real thing. They are SO much better, I've had a pair for awhile that are starting to break from overuse (lots of running, falling asleep in them, and just constant use in general), but they are my favorite headphones I've ever used!",1.0,0,sound quality horrible along quality general didnt half bad job replicating look real apple headphones obviously fake several easily notice things even using dont buy shell another get real thing much better ive pair awhile starting break overuse lots running falling asleep constant use general favorite headphones ive ever used
46,"I bought them for around 20-30 bucks.  It was probably a little expensive, but the sound is a lot louder than the ones that came with my Iphone 4.",4.0,1,bought around bucks probably little expensive sound lot louder ones came iphone
47,"The earphone came in a very good case. However, it doesn't fit well in my ear canal; this affects the amplitude of the audio I hear.",3.0,0,earphone came good case however doesnt fit well ear canal affects amplitude audio hear
48,"I bought two of these earpods, for me and for my little brother, and we both love it.I use it on my iphone and my laptop.Fits perfectly, good sound quality and great value.I would definitely recommend it.",5.0,1,bought two earpods little brother love iti use iphone laptopfits perfectly good sound quality great valuei would definitely recommend
49,They have great sound once I got them but a few weeks in they just got more dim. Now the right ear bud is alot more quiet than the other. If you're looking for headphones for a great 2 week experience then go for these.,3.0,0,great sound got weeks got dim right ear bud alot quiet youre looking headphones great week experience go
50,"The description of these said they were genuine Apple, and they were priced like it. What I got was a fake worth less than 1/3 the price. . It may vary based on which seller it comes from, but it's not worth gambling on it. If you want genuine Apple, go to an Apple store. If you want a knockoff, Amazon lists others for under ten bucks.",1.0,0,description said genuine apple priced like got fake worth less price may vary based seller comes worth gambling want genuine apple go apple store want knockoff amazon lists others ten bucks
51,In my opinion this is the best headphones with the best price.It was a very good deal and I'm glade I bought that.It works very well without any problems.,5.0,1,opinion best headphones best priceit good deal im glade bought thatit works well without problems
52,I'm very satisfied with Apple products in general.This one is an essential company for my new iPad. Very good the new design.,5.0,1,im satisfied apple products generalthis one essential company new ipad good new design
53,"These are great, I got them with my iPhone 5. Better sound and fits a lot better in my ear. The volume buttons are bigger and therefore a lot easier to press and use. However, even ever I am at the gym, they always come loose and sometimes fall out. But worth the money!!",4.0,1,great got iphone better sound fits lot better ear volume buttons bigger therefore lot easier press use however even ever gym always come loose sometimes fall worth money
54,"I read many reviews on these and decided to spend the $30. I have not been disappointed. I am no expert, but I do have a $400 pair of Shure earbuds and a $100 pair of Ultimate Ears. Although the sound quality of the EarPods is not as good as either of these other sets, it is still exceptional for the price. They are much better sounding and much more comfortable than the old Apple earphones! I tend to use the EarPods much more often than my more expensive sets because they are much easier to take in and out of my ears, and they do not block out most ambient sounds like the other noise cancelling sets I have. I only want the sound cancelling if I really want to tune out.",5.0,1,read many reviews decided spend disappointed expert pair shure earbuds pair ultimate ears although sound quality earpods good either sets still exceptional price much better sounding much comfortable old apple earphones tend use earpods much often expensive sets much easier take ears block ambient sounds like noise cancelling sets want sound cancelling really want tune
55,"I received a pair of Apple EarPods with my new iPhone5 purchase. I was really excited to see that the microphone and volume control were integrated this time, and the new shape seemed promising. The old model ear buds were very painful and uncomfortable for me to wear. I would throw them away when they came with one of my Apple purchases because I hated them so much.I decided to try the new EarPods because they looked more naturally shaped. The carrying case is nice too. They are an improvement, but they are still very uncomfortable. The sound quality is ok, but not $30 worth. For the same price, I got earphones from a different company with integrated microphone, carrying case, and multiple sized silicon tips that are much more comfortable, block outside noise, and help to prevent sound loss. Apple's comparable product is ""In-Ear Headphones"", which they charge $60 for.I purchased the 64GB iPhone, and I personally feel that it's a mistake on Apple's part to package their cheapest earphones their most expensive iPhone.I will probably keep the EarPods as a ""backup pair"" at the office, but I would never purchase a pair of these individually. They're awful.",2.0,0,received pair apple earpods new purchase really excited see microphone volume control integrated time new shape seemed promising old model ear buds painful uncomfortable wear would throw away came one apple purchases hated muchi decided try new earpods looked naturally shaped carrying case nice improvement still uncomfortable sound quality ok worth price got earphones different company integrated microphone carrying case multiple sized silicon tips much comfortable block outside noise help prevent sound loss apples comparable product inear headphones charge fori purchased iphone personally feel mistake apples part package cheapest earphones expensive iphonei probably keep earpods backup pair office would never purchase pair individually theyre awful
56,"Really good sound, looks and ergonomics, little pricier compared to other generic earpods but really worth it, once you have original equipment you can't go back to generic",4.0,1,really good sound looks ergonomics little pricier compared generic earpods really worth original equipment cant go back generic
57,"I finally broke down and spent $$$ for the real thing and what a difference.  But as much care as I gave them, I STILL lost them after two weeks!Oh, well...",5.0,1,finally broke spent real thing difference much care gave still lost two weeksoh well
58,"The music is great to hear from ear pods, fits in well in ears, with surround digital soundpretty awesome.",5.0,1,music great hear ear pods fits well ears surround digital soundpretty awesome
59,My earpods came in today the wait for tear thing took FOR EVER but for the quality it came in it was worth it. But then I realized the remote and mic didnt work and nothing is wrong with my iPhone 4S. But hopefully later on I will wear the earpods in and maybe the remote and mic will work OH WELL.,3.0,0,earpods came today wait tear thing took ever quality came worth realized remote mic didnt work nothing wrong iphone hopefully later wear earpods maybe remote mic work oh well
60,I loved themthey are so perfectI like the design I like the soundsI used them every time,5.0,1,loved themthey perfecti like design like soundsi used every time
61,"It does not hold to your ear tightly, just shake your head a little bit and it will start falling from your ear.Sometimes I found even not holding while walking.Sound quality is perfect as always from apple.",2.0,0,hold ear tightly shake head little bit start falling earsometimes found even holding walkingsound quality perfect always apple
62,"Yay, happy happy joy joy.I can do a happy dance.  They don't fall out.  They sound so much better.  I am a happy woman today!",5.0,1,yay happy happy joy joyi happy dance dont fall sound much better happy woman today
63,"These earpods are amazing, they fit more comfortably and they're very good at block out other noises. The only downside was that they have little to no bass capabilities.",5.0,1,earpods amazing fit comfortably theyre good block noises downside little bass capabilities
